Unnamed: 0,0,1,2,3,x,y,best
terminal,0.0,0.0,0.0,0.0,0,0,0
"[20.0, 20.0]",0.002920897465351097,0.00048284805602930096,0.3136852300561851,0.005460181330915433,20,20,2
"[60.0, 20.0]",0.031225565077699767,-0.122478977001032,0.4734267716016912,0.00669411461597333,60,20,2
"[100.0, 20.0]",0.02822829149655325,0.6496184733966011,0.0006323402069252961,0.016274594006774844,100,20,1
"[140.0, 20.0]",0.0,-0.0199,4.736292216861517e-05,0.026235053347510248,140,20,3
"[20.0, 60.0]",0.01701443526796537,0.0,-0.029700999999999998,0.0,20,60,0
"[100.0, 60.0]",0.015211693331286247,0.8098167764550074,-0.07725530557207991,-0.11361512828387073,100,60,1
"[20.0, 100.0]",1.965262467583468e-05,-0.0199,0.0,0.0,20,100,0
"[60.0, 100.0]",-0.0199,0.009080019879952305,0.0,6.916877124997747e-16,60,100,1
"[100.0, 100.0]",0.03669090224727742,0.9252528086452508,-0.14854222890512436,0.00037914131447439937,100,100,1
"[100.0, 140.0]",0.054083027261682334,0.04059721678808837,0.9881116709402116,0.011494068885991316,100,140,2
"[60.0, 140.0]",0.0,0.00020468189360926928,0.1876917334388066,-0.0199,60,140,2
