,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,0,1,2,3,x,y,best
0,5.0,5.0,35.0,35.0,-5077.2115318103115,-5068.679969549986,-5067.653994583314,-5081.037125851736,20.0,20.0,2
1,5.0,45.0,35.0,75.0,-1007.2783090196676,-1001.0764457151628,-1000.7808441470777,-1000.8696239821994,20.0,60.0,2
2,45.0,5.0,75.0,35.0,-684.1877968687959,-684.5159858987247,-684.2409499061959,-684.8967119427847,60.0,20.0,0
3,5.0,85.0,35.0,115.0,-162.22896681197426,1130.1066608646895,-107.74523019015881,-108.91898334497563,20.0,100.0,1
4,85.0,5.0,115.0,35.0,-209.17091862546582,1430.8169635741478,-288.08744651113176,-120.15262447537368,100.0,20.0,1
5,125.0,5.0,155.0,35.0,54.73114157086593,-113.24720841089086,-59.205341552599066,-71.02623510170899,140.0,20.0,0
6,85.0,45.0,115.0,75.0,-16.256644158432323,1294.9857778154335,-96.526979716002,-32.95452031174325,100.0,60.0,1
7,85.0,85.0,115.0,115.0,-57.907135475288754,1390.7943632540098,-2.634025361031105,-17.763551073550282,100.0,100.0,1
8,85.0,125.0,115.0,155.0,8.968790696993274,96.1015292867295,2261.295329820165,27.80520127340629,100.0,140.0,2
9,45.0,85.0,75.0,115.0,-3.4208856730544666,505.1281987089581,82.17096451307732,-107.61213238780668,60.0,100.0,1
10,45.0,125.0,75.0,155.0,145.266997678707,7813.210979742503,379.10976038651086,-68.53850444159575,60.0,140.0,1
